City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Hasaki,JP,2020-09-15 17:19:54,35.73,140.83,70.0,94,40,6.93
223,Nicoya,CR,2020-09-15 17:15:03,10.15,-85.45,86.0,79,75,6.93
224,Ostrovnoy,RU,2020-09-15 17:19:55,68.05,39.51,44.58,76,100,17.13
225,Axim,GH,2020-09-15 17:19:55,4.87,-2.24,77.25,84,67,13.13
226,Longyearbyen,SJ,2020-09-15 17:19:56,78.22,15.64,35.6,69,75,3.36
227,Lakes Entrance,AU,2020-09-15 17:19:56,-37.88,147.98,37.99,95,20,3.74
228,Pisco,PE,2020-09-15 17:19:56,-13.7,-76.22,66.99,77,20,8.05
229,Vila Franca Do Campo,PT,2020-09-15 17:19:56,37.72,-25.43,69.8,43,20,10.29
230,Carnarvon,AU,2020-09-15 17:19:57,-24.87,113.63,68.0,100,0,18.34
231,Esna,EG,2020-09-15 17:15:19,25.29,32.55,98.6,27,0,3.36
232,Sabzevar,IR,2020-09-15 17:19:57,36.21,57.68,69.57,31,0,14.41
233,Torit,SS,2020-09-15 17:19:58,4.41,32.57,75.51,76,12,2.71
234,Sabha,LY,2020-09-15 17:19:58,27.04,14.43,90.99,19,0,11.65
235,Nibbar,TN,2020-09-15 17:19:59,36.29,8.77,87.8,40,40,4.7
236,Ribeira Grande,PT,2020-09-15 17:19:59,38.52,-28.7,69.8,49,40,8.05
237,Rawson,AR,2020-09-15 17:16:57,-43.3,-65.1,54.81,41,7,19.22
238,Cairns,AU,2020-09-15 17:16:20,-16.92,145.77,69.8,88,75,8.05
239,Disna,BY,2020-09-15 17:19:59,55.57,28.2,58.5,89,64,1.5
240,Asfi,MA,2020-09-15 17:20:00,32.3,-9.24,75.56,65,47,21.41
241,Campina Grande Do Sul,BR,2020-09-15 17:20:00,-25.31,-49.06,62.01,78,97,6.04
242,Steinbach,DE,2020-09-15 17:20:01,50.17,8.57,86.0,35,6,4.7
243,Barra Do Garcas,BR,2020-09-15 17:15:24,-15.89,-52.26,103.62,14,0,5.08
244,Khatanga,RU,2020-09-15 17:20:01,71.97,102.5,50.56,82,100,6.62
245,Neiafu,TO,2020-09-15 17:20:02,-18.65,-173.98,69.8,94,20,19.53
246,Kitui,KE,2020-09-15 17:20:03,-1.37,38.01,69.89,68,13,11.21
247,Imbituba,BR,2020-09-15 17:19:55,-28.24,-48.67,64.4,55,75,4.7
248,Santa Isabel,BR,2020-09-15 17:20:03,-23.32,-46.22,73.4,68,90,8.05
249,Nchelenge,ZM,2020-09-15 17:20:04,-9.35,28.73,81.86,41,41,8.14
250,Castro,BR,2020-09-15 17:20:04,-24.79,-50.01,72.39,52,94,9.51
251,Capaci,IT,2020-09-15 17:20:04,38.17,13.24,82.99,69,20,11.41
252,Lensk,RU,2020-09-15 17:20:05,60.73,114.93,41.27,86,0,1.83
253,Maragogi,BR,2020-09-15 17:20:05,-9.01,-35.22,78.96,74,23,12.08
254,Krasnaya Poyma,RU,2020-09-15 17:20:05,55.0,39.08,50.0,56,16,1.01
255,Tpig,RU,2020-09-15 17:20:06,41.78,47.59,52.43,80,59,1.95
256,Jos,NG,2020-09-15 17:20:06,9.92,8.9,69.55,90,53,4.38
257,Souillac,MU,2020-09-15 17:20:06,-20.52,57.52,66.2,77,75,19.46
258,Xingtai,CN,2020-09-15 17:20:07,37.06,114.49,68.16,30,0,9.04
259,Gazojak,TM,2020-09-15 17:20:08,41.19,61.4,69.84,29,0,12.33
260,Cachoeira Do Sul,BR,2020-09-15 17:20:08,-30.04,-52.89,62.64,66,98,10.13
261,Yining,CN,2020-09-15 17:20:09,29.04,114.56,68.99,93,100,1.14
262,Aguilas,ES,2020-09-15 17:20:09,37.41,-1.58,86.0,45,0,10.29
263,Zalantun,CN,2020-09-15 17:20:10,48.0,122.72,53.42,93,100,12.86
264,Adrar,MR,2020-09-15 17:20:10,20.5,-10.07,107.64,10,22,6.89
265,Rusape,ZW,2020-09-15 17:20:11,-18.53,32.13,71.51,34,94,8.21
266,Inhambane,MZ,2020-09-15 17:20:12,-23.86,35.38,77.0,83,40,13.87
267,Abu Samrah,SY,2020-09-15 17:20:12,35.3,37.18,82.78,25,0,9.15
268,Ler,SS,2020-09-15 17:20:13,8.3,30.14,77.29,77,38,2.77
269,Gra Liyia,GR,2020-09-15 17:20:13,35.02,25.68,79.0,66,0,11.99
270,Helong,CN,2020-09-15 17:20:13,42.54,129.0,53.1,87,99,3.36
271,Ndele,CF,2020-09-15 17:20:14,8.41,20.65,72.32,95,83,2.64
272,Ponta Delgada,PT,2020-09-15 17:20:14,37.73,-25.67,69.8,43,20,10.29
