City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
402,Lázaro Cárdenas,MX,83.07,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
407,Kushima,JP,77.0,light rain,31.46,131.23,Hanaoka
408,Praia,CV,82.09,few clouds,14.92,-23.51,LT Aparthotel
412,Tandaltī,SD,89.85,clear sky,13.02,31.87,منزل : الهادي محمد مساعد
415,Malakal,SS,77.11,clear sky,9.53,31.66,Nile Palace Hotel
416,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
418,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
419,Olavarría,AR,78.01,clear sky,-36.89,-60.32,Hotel Santa Rosa
420,Morondava,MG,75.25,clear sky,-20.28,44.28,La Case Bambou
423,Elko,US,87.01,clear sky,41.0,-115.5,
429,Maţāy,EG,89.19,clear sky,28.42,30.78,Nag Aespen
434,Żurrieq,MT,78.01,clear sky,35.83,14.47,Ta' Bertu Host Family Bed & Breakfast
435,Cho Dok,VN,79.43,moderate rain,10.7,105.12,Thanh Nam 2 Mini Hotel
441,Conde,BR,80.6,clear sky,-7.26,-34.91,Pousada Beija Flor
442,Havelock,US,78.01,overcast clouds,34.88,-76.9,Sherwood Motel
444,Narathiwat,TH,75.2,moderate rain,6.33,101.75,MUSOR
449,Erbil,IQ,84.2,clear sky,36.19,44.01,Erbil International Hotel
454,Anaconda,US,75.0,haze,46.13,-112.94,Trade Wind Motel
455,Puerto del Rosario,ES,77.0,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
459,Pozo Colorado,PY,87.13,broken clouds,-23.49,-58.8,Hospedaje la Amistad
461,Sabang,ID,83.75,light rain,5.89,95.32,Hotel Citra
462,Santiago del Estero,AR,88.92,clear sky,-27.8,-64.26,Hotel Urbano
468,Departamento de Maldonado,UY,75.2,clear sky,-34.67,-54.92,La Cimarrona
471,Châtellerault,FR,80.6,clear sky,46.8,0.53,La Gourmandine
472,Nassau,US,75.0,scattered clouds,40.75,-73.58,Hilton Garden Inn Westbury
475,Cabedelo,BR,80.6,clear sky,-6.98,-34.83,Lua Mansa Pousada
479,Kailua,US,84.2,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
480,Alugan,PH,77.38,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
481,Bandarbeyla,SO,76.62,clear sky,9.49,50.81,REER XOOSHLE GROUP
483,Sironj,IN,81.43,broken clouds,24.1,77.7,shri shyam palace sironj
484,Vila Velha,BR,81.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
487,Mauá,BR,78.01,scattered clouds,-23.67,-46.46,Hotel Capriccio Mauá
490,Mt. Pleasant,US,84.2,mist,32.79,-79.86,Best Western Patriots Point
499,Tateyama,JP,82.0,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
501,Ebéjico,CO,77.0,shower rain,6.33,-75.77,EL CHORRON
503,Tshikapa,CD,78.84,scattered clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
506,Beitbridge,ZW,75.24,broken clouds,-22.22,30.0,PETERS MOTEL & CONFERENCE CENTRE
510,Kānker,IN,78.37,light rain,20.27,81.49,STARiHOTEL Kanker
514,Wilmington,US,78.8,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
520,Port Blair,IN,79.0,light rain,11.67,92.75,Fortune Resort Bay Island
521,Buala,SB,79.48,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
525,Jertih,MY,75.2,light rain,5.73,102.49,One Utama Hotel
528,Maragogi,BR,77.14,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
531,Doka,SD,77.29,overcast clouds,13.52,35.77,
534,Alexandria,EG,80.55,clear sky,31.22,29.96,Royal Crown Hotel
537,Merauke,ID,79.0,overcast clouds,-8.47,140.33,
540,Marawi,PH,75.0,broken clouds,8.0,124.29,Derogongan Residence
543,Zaranj,AF,75.2,clear sky,30.97,61.88,غزنوی هوتل
548,Locri,IT,78.8,few clouds,38.24,16.26,Grand Hotel President
551,Rājpīpla,IN,78.33,overcast clouds,21.87,73.5,Government Guest House
552,Hamilton,US,82.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
553,Vrises,GR,77.0,few clouds,35.49,23.89,Minoa Palace Resort
557,Keelung,TW,84.0,few clouds,25.13,121.74,East Coast Star Boutique Hotel
