City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
29,Nieuw Amsterdam,SR,5.88,-55.08,87.8,58,40,11.41,shower rain,2020-09-17 19:23:29
30,Malanje,AO,-9.54,16.34,77.14,52,86,2.33,light rain,2020-09-17 19:23:30
31,Morant Bay,JM,17.88,-76.41,87.8,70,20,18.34,thunderstorm,2020-09-17 19:23:30
32,Cape Town,ZA,-33.93,18.42,57.0,93,28,5.82,scattered clouds,2020-09-17 19:23:30
33,Barrow,US,71.29,-156.79,44.6,81,90,5.82,overcast clouds,2020-09-17 19:23:30
34,Serov,RU,59.6,60.58,41.4,84,95,6.33,overcast clouds,2020-09-17 19:23:31
35,Avarua,CK,-21.21,-159.78,73.4,64,99,6.93,overcast clouds,2020-09-17 19:23:31
36,Leningradskiy,RU,69.38,178.42,33.42,94,100,16.53,overcast clouds,2020-09-17 19:23:31
37,Broken Hill,AU,-31.95,141.43,68.0,52,75,16.11,broken clouds,2020-09-17 19:23:32
38,Ambovombe,MG,-25.17,46.08,70.18,80,0,7.65,clear sky,2020-09-17 19:23:32
39,Los Llanos de Aridane,ES,28.66,-17.92,75.2,69,20,8.05,few clouds,2020-09-17 19:23:32
40,Provideniya,RU,64.38,-173.3,44.6,87,75,11.18,broken clouds,2020-09-17 19:23:33
41,Omboué,GA,-1.57,9.26,75.07,86,100,8.28,overcast clouds,2020-09-17 19:23:33
42,Kapaa,US,22.08,-159.32,82.4,69,20,11.41,few clouds,2020-09-17 19:21:32
43,Bethel,US,41.37,-73.41,73.99,53,1,4.7,clear sky,2020-09-17 19:23:32
44,Saldanha,ZA,-33.01,17.94,57.2,76,0,8.05,clear sky,2020-09-17 19:23:34
45,Vao,NC,-22.67,167.48,70.59,85,0,8.77,clear sky,2020-09-17 19:23:34
46,Gushikawa,JP,26.35,127.87,82.4,88,40,9.17,scattered clouds,2020-09-17 19:23:34
47,Hermanus,ZA,-34.42,19.23,50.0,90,7,2.24,clear sky,2020-09-17 19:23:35
48,Gambēla,ET,8.25,34.58,76.01,70,90,2.8,overcast clouds,2020-09-17 19:23:35
49,Banyo,CM,6.75,11.82,66.7,93,36,3.31,light rain,2020-09-17 19:23:35
50,São Gabriel da Cachoeira,BR,-0.13,-67.09,91.4,55,40,5.82,scattered clouds,2020-09-17 19:23:36
51,Chiang Khong,TH,20.26,100.4,75.2,100,100,2.24,light rain,2020-09-17 19:23:36
52,Hasaki,JP,35.73,140.83,80.01,88,75,10.29,broken clouds,2020-09-17 19:23:36
53,Eureka,US,40.8,-124.16,69.01,100,90,4.7,overcast clouds,2020-09-17 19:23:05
54,Cândido Mendes,BR,-1.45,-45.72,84.54,64,67,7.99,broken clouds,2020-09-17 19:23:37
55,Lorengau,PG,-2.02,147.27,81.48,79,80,8.72,broken clouds,2020-09-17 19:23:37
56,Kavieng,PG,-2.57,150.8,82.22,77,100,11.03,light rain,2020-09-17 19:23:08
57,Deputatsky,RU,69.3,139.9,39.2,91,100,9.24,light rain,2020-09-17 19:23:38
58,Narsaq,GL,60.92,-46.05,44.6,56,75,6.93,broken clouds,2020-09-17 19:23:38
59,Cap Malheureux,MU,-19.98,57.61,72.0,66,0,4.0,clear sky,2020-09-17 19:23:38
